Breed,ARG_type,Total_Abundance
CVD,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),0
CVD,AAC(3)-IIc,0.07224503333333333
CVD,AAC(3)-IVa,0.015757733333333333
CVD,AAC(3)-VIIa,0
CVD,AAC(6')-IIa,0.14827153333333332
CVD,AAC(6')-Ia,0.001381
CVD,AAC(6')-Iaj,0
CVD,AAC(6')-Ib',0.022699633333333333
CVD,AAC(6')-Ib-cr3,6.494333333333333e-4
CVD,AAC(6')-Ib-cr6,3.104e-4
CVD,AAC(6')-Ib7,0.05257736666666667
CVD,AAC(6')-Ib8,0
CVD,AAC(6')-Ib9,0
CVD,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,6.732666666666667e-4
CVD,AAC(6')-Ii,0
CVD,AAC(6')-Iid,0
CVD,AAC(6')-Il,5.825e-4
CVD,AAC(6')-Im,0.44588683333333334
CVD,AAC(6')-Iy,0
CVD,ACI-1,0.008934333333333332
CVD,ACT-56,0
CVD,ACT-77,0
CVD,ADC-43,0
CVD,ANT(2'')-Ia,0.16874026666666667
CVD,ANT(3'')-IIa,5.855146166666667
CVD,ANT(3'')-IIb,0
CVD,ANT(4')-Ia,0.006804166666666667
CVD,ANT(4')-Ib,0
CVD,ANT(6)-Ia,0.069436
CVD,ANT(6)-Ib,4.1021518666666665
CVD,ANT(9)-Ia,0.004142
CVD,ANT(9)-Ib,0
CVD,APH(2'')-IIIa,0
CVD,APH(2'')-IIa,0.0028882666666666668
CVD,APH(2'')-Ie,0.030146866666666668
CVD,APH(2'')-If,6.751496666666666
CVD,APH(2'')-Ig,2.5643333333333335e-4
CVD,APH(3'')-Ib,0.22221169999999998
CVD,APH(3')-IIIa,88.7942956
CVD,APH(3')-IIa,0.0073816
CVD,APH(3')-Ia,0.3393521333333333
CVD,APH(3')-Ib,0.0020644333333333332
CVD,APH(3')-VIIa,6.782333333333334e-4
CVD,APH(3')-VIa,0
CVD,APH(4)-Ia,0.0030031666666666666
CVD,APH(6)-Ic,0
CVD,APH(6)-Id,0.004693933333333333
CVD,Acinetobacter baumannii AbaQ,0
CVD,Acinetobacter baumannii AmvA,0
CVD,AcrE,0.006810033333333333
CVD,AcrS,0.0044717333333333335
CVD,ArnT,0.05312806666666667
CVD,BLMT,0.0107639
CVD,BRO-2,0
CVD,BRP(MBL),0
CVD,BcI,0
CVD,BcIII,0
CVD,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,0.0016599333333333333
CVD,CARB-3,0
CVD,CARB-4,0
CVD,CARB-8,0
CVD,CARB-9,0
CVD,CDD-2,0
CVD,CMH-4,0
CVD,CMY-59,8.287333333333333e-4
CVD,CTX-M-55,0.0040903
CVD,CTX-M-65,0.0028778
CVD,Campylobacter coli chloramphenicol acetyltransferase,2.5668746000000002
CVD,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,0.0013955
CVD,CblA-1,0.0026771
CVD,CcrA,0
CVD,CfxA6,0
CVD,Clostridioides difficile gyrB conferring resistance to fluoroquinolones,0
CVD,Clostridium perfringens mprF,0
CVD,Corynebacterium striatum tetA,0
CVD,CrcB,0
CVD,DHA-1,0
CVD,DfrA37,5.308333333333334e-4
CVD,DfrB9,0
CVD,EBR-5,0
CVD,EC-14,0.041983599999999996
CVD,EC-15,0.011925666666666666
CVD,EreA,0
CVD,EreD,1.2619521666666667
CVD,Erm(34),0
CVD,Erm(35),2.8086777333333335
CVD,Erm(36),0
CVD,Erm(42),0.025885566666666665
CVD,Erm(48),0
CVD,Erm(49),0.009598233333333333
CVD,Erm(51),0
CVD,Erm(52),6.686651566666667
CVD,ErmA,0.17982733333333334
CVD,ErmB,6.0491702
CVD,ErmC,9.121333333333334e-4
CVD,ErmF,12.962351133333334
CVD,ErmG,0.21539113333333335
CVD,ErmQ,0.010869466666666668
CVD,ErmT,0.0023782
CVD,ErmX,0.2880431
CVD,ErmY,0
CVD,"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",0.0311511
CVD,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,0.0742943
CVD,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,0.0170633
CVD,Escherichia coli acrA,0.023985999999999997
CVD,Escherichia coli ampC beta-lactamase,0
CVD,Escherichia coli emrE,0.0791241
CVD,Escherichia coli mdfA,0.012022266666666667
CVD,Escherichia coli parE conferring resistance to fluoroquinolones,0
CVD,Escherichia coli soxR with mutation conferring antibiotic resistance,0
CVD,Escherichia coli soxS with mutation conferring antibiotic resistance,0.04834506666666667
CVD,EstT,10.5767321
CVD,FosA2,0
CVD,FosA3,0.005639533333333333
CVD,FosA7.5,0
CVD,FosA8,0
CVD,FosB3,0.1833856
CVD,FosBx1,0
CVD,FosD,0
CVD,FosG,0
CVD,FosI,0.2990912333333333
CVD,FosK,0
CVD,FosXCC,24.0580989
CVD,FusF,0
CVD,H-NS,0.034942766666666666
CVD,Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,0.0284908
CVD,HelR,0
CVD,Helicobacter pylori rpoB mutation conferring resistance to rifampicin,0.006117066666666667
CVD,ICR-Mo,0
CVD,Klebsiella pneumoniae KpnE,0.0483407
CVD,Klebsiella pneumoniae KpnF,0.09196016666666666
CVD,Klebsiella pneumoniae KpnG,0
CVD,Klebsiella pneumoniae KpnH,0.014570133333333334
CVD,Klebsiella pneumoniae OmpK37,0
CVD,Limosilactobacillus reuteri cat-TC,0
CVD,LlmA 23S ribosomal RNA methyltransferase,0
CVD,LnuH,0
CVD,LnuP,0.06021973333333333
CVD,LptD,0
CVD,MCR-1.1,0
CVD,Mef(En2),7.096179033333334
CVD,Morganella morganii gyrB conferring resistance to fluoroquinolones,1.185e-4
CVD,Mrx,0.0024444000000000002
CVD,Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid,0
CVD,Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,0
CVD,Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,0
CVD,NDM-5,0
CVD,Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,0
CVD,OXA-1,0
CVD,OXA-10,0.035197933333333334
CVD,OXA-136,0
CVD,OXA-140,0
CVD,OXA-184,0.0035449
CVD,OXA-193,0.0035312666666666667
CVD,OXA-21,0
CVD,OXA-334,0
CVD,OXA-347,1.0013048666666666
CVD,OXA-58,0
CVD,OXA-820,0
CVD,OXA-912,0
CVD,OmpA,0
CVD,PC1 beta-lactamase (blaZ),0
CVD,PmrF,0.03562983333333333
CVD,QnrA3,0
CVD,QnrB6,0
CVD,QnrD1,0
CVD,QnrS1,0.057558366666666666
CVD,QnrVC5,3.583333333333333e-4
CVD,RCP-1,0
CVD,RanA,0
CVD,RanB,0
CVD,RbpA,0
CVD,Rhodobacter sphaeroides ampC beta-lactamase,0
CVD,SAT-2,0
CVD,SAT-4,22.6237124
CVD,SHV-11,0
CVD,Sed-1,0
CVD,Staphylococcus intermedius chloramphenicol acetyltransferase,0
CVD,Streptococcus suis chloramphenicol acetyltransferase,0.13238543333333333
CVD,Streptomyces rimosus otr(A),0.0025606
CVD,Streptomyces venezuelae rox,0
CVD,TEM-1,0.3977423333333333
CVD,TRU-1,0
CVD,TolC,0.005116366666666666
CVD,VEB-17,0.1001045
CVD,Vibrio anguillarum chloramphenicol acetyltransferase,1.2928390666666667
CVD,Vibrio cholerae varG,0
CVD,YojI,2.011e-4
CVD,aad(6),0.32285963333333334
CVD,aadA11,0
CVD,aadA15,0.0012181666666666667
CVD,aadA16,3.54e-4
CVD,aadA17,0
CVD,aadA2,0
CVD,aadA27,0
CVD,aadA5,0.0112704
CVD,aadA7,0
CVD,aadA9,0
CVD,aadK,0
CVD,aadS,0.4367046
CVD,abeS,0
CVD,acrB,0.0021028333333333333
CVD,acrD,8.374e-4
CVD,adeF,5.8171683
CVD,adeL,0
CVD,almE,1.7549999999999998e-4
CVD,almF,0.0038223
CVD,almG,0
CVD,aphA15,0
CVD,apmA,0.004489233333333334
CVD,armA,0
CVD,arr-2,0.0483641
CVD,arr-3,0.0014709666666666667
CVD,arr-8,0
CVD,bacA,0
CVD,baeR,0.021989633333333335
CVD,baeS,2.4263333333333334e-4
CVD,catA4,0
CVD,catA8,0.2435696
CVD,catB11,0
CVD,catB2,0
CVD,catB3,0
CVD,catB8,2.3853333333333332e-4
CVD,catII from Escherichia coli K-12,0.37275583333333334
CVD,catIII,0
CVD,catP,0.1832572
CVD,catQ,0.010134833333333334
CVD,catS,0.10938963333333333
CVD,cepA,0
CVD,cfr(D),1.6103333333333334e-4
CVD,cfrA,2.90104
CVD,cfrC,0
CVD,cfrE,5.056780833333334
CVD,clbC,0
CVD,clcD,5.07e-4
CVD,cmeR,9.566666666666666e-4
CVD,cmlA5,0.011362233333333334
CVD,cphA3,0
CVD,cpxA,0.031202933333333335
CVD,dfrA1,0
CVD,dfrA10,0
CVD,dfrA12,0.0016903333333333334
CVD,dfrA14,0.0355571
CVD,dfrA15,0
CVD,dfrA16,0
CVD,dfrA17,0
CVD,dfrA19,0
CVD,dfrA20,0
CVD,dfrA27,0
CVD,dfrA6 from Proteus mirabilis,0
CVD,dfrD,0
CVD,dfrE,0
CVD,dfrF,0.27736283333333334
CVD,dfrG,0.001161
CVD,dfrL,0
CVD,efmA,0
CVD,efrA,0
CVD,emrA,0.007627866666666667
CVD,emrK,0.022517933333333334
CVD,emrR,0.04844473333333334
CVD,emrY,5.019666666666666e-4
CVD,emtA,2.1386666666666667e-4
CVD,eptA,0.012627066666666666
CVD,eptB,0
CVD,erm(45),0
CVD,evgA,0.018058566666666668
CVD,evgS,0.0022869333333333333
CVD,fexA,7.226448933333334
CVD,fexB,0.09188113333333334
CVD,fosA5,0
CVD,fusC,0
CVD,fusD,0
CVD,gadX,0.013784133333333332
CVD,golS,0
CVD,kdpE,0.006818433333333334
CVD,leuO,0.0068486
CVD,linG,0.005139466666666666
CVD,lnuA,0.013353499999999999
CVD,lnuB,0.15981063333333334
CVD,lnuC,55.9354793
CVD,lnuD,0
CVD,lnuE,0
CVD,lnuF,0
CVD,lnuG,0
CVD,lsaE,0
CVD,marA,0.038862966666666665
CVD,mdeA,3.658e-4
CVD,mdtA,4.479333333333333e-4
CVD,mdtB,0.008039733333333333
CVD,mdtC,0
CVD,mdtE,0.0031229666666666668
CVD,mdtF,0.0055567
CVD,mdtG,0.007242566666666667
CVD,mdtH,0.004858233333333333
CVD,mdtM,0.0135713
CVD,mdtN,0.010919233333333334
CVD,mdtO,6.131666666666667e-4
CVD,mdtP,0.0023722333333333337
CVD,mecA,1.6986666666666666e-4
CVD,mecB,0
CVD,mecI,0
CVD,mecR1,0
CVD,mefF,0
CVD,mefH,5.299828
CVD,mphA,0
CVD,mphC,0
CVD,mphE,0
CVD,mphF,0
CVD,mphG,2.636e-4
CVD,mphK,0
CVD,mphO,0
CVD,msbA,0.0022436666666666664
CVD,msr(G),0
CVD,msr(I),0
CVD,msrA,0
CVD,nimA,7.1401086000000005
CVD,nimB,0.6906147666666667
CVD,nimC,0
CVD,nimD,0.06561413333333334
CVD,nimE,0.4784603666666667
CVD,nimF,0.6102545
CVD,nimG,2.5998126
CVD,nimH,0.0447988
CVD,nimI,0.4849599
CVD,nimJ,5.576518633333333
CVD,nimK,0.2835068666666667
CVD,norC,6.672333333333333e-4
CVD,npmA,15.678338766666666
CVD,oqxA,0.025175466666666667
CVD,patB,3.685e-4
CVD,poxtA,2.311486866666667
CVD,qacEdelta1,0.08574596666666667
CVD,qacG,0.32922623333333334
CVD,qacJ,6.560934333333333
CVD,qacL,0.0051686
CVD,ramA,0
CVD,rgt1438,0
CVD,rmtB,0.0141453
CVD,rsmA,0
CVD,salC,1.3643333333333333e-4
CVD,salD,0
CVD,salE,3.423666666666667e-4
CVD,sdiA,0
CVD,sdrM,0.0020327333333333333
CVD,sepA,6.612333333333334e-4
CVD,spd,0
CVD,sul1,0.017238466666666667
CVD,sul2,0.43406256666666665
CVD,sul3,0.0017492
CVD,sul4,0
CVD,tet(32),11.787089033333334
CVD,tet(33),5.353333333333333e-4
CVD,tet(36),2.1983333333333333e-4
CVD,tet(40),4.5345124666666665
CVD,tet(44),16.8802491
CVD,tet(45),3.2342144333333334
CVD,tet(59),0
CVD,tet(A),0.44616673333333334
CVD,tet(B),0.002006
CVD,tet(C),6.666666666666667e-8
CVD,tet(D),0
CVD,tet(K),0
CVD,tet(M),3.123860966666667
CVD,tet(O),14.454194433333333
CVD,tet(O/32/O),1.4515907333333333
CVD,tet(O/W/32/O),0.030635833333333334
CVD,tet(Q),106.2741703
CVD,tet(R),0
CVD,tet(S),0.0353893
CVD,tet(T),0
CVD,tet(W),99.51294063333333
CVD,tet(W/N/W),8.336334233333334
CVD,tet(X),0.6888161
CVD,tet(X1),0.0010309
CVD,tet(X3),0
CVD,tet(X5),0
CVD,tet(Z),0
CVD,tetB(P),0.07354383333333334
CVD,tmrB,0
CVD,ugd,0.002463766666666667
CVD,vanB,0.004969299999999999
CVD,vanC,0
CVD,vanE,0
CVD,vanF,0.0039756
CVD,vanG,10.556737233333333
CVD,vanHA,0.11217673333333333
CVD,vanHB,0.0918793
CVD,vanHD,0.16591426666666667
CVD,vanHF,0.46885376666666667
CVD,vanHM,0.0061727
CVD,vanHO,4.415874566666667
CVD,vanHP,0.006461633333333334
CVD,vanI,0
CVD,vanRB,0.0074520666666666666
CVD,vanRC,0
CVD,vanRG,0.012278333333333334
CVD,vanRI,0
CVD,vanSB,0.0024702333333333332
CVD,vanTC,0
CVD,vanTE,0.05332933333333333
CVD,vanTG,10.681974333333333
CVD,vanTN,0.007768433333333333
CVD,vanTmL,0.044089633333333336
CVD,vanTrL,0.018824833333333332
CVD,vanUG,0.1674742
CVD,vanWB,3.1638902333333334
CVD,vanWG,3.0054849666666668
CVD,vanWI,13.435065366666667
CVD,vanXA,0
CVD,vanXB,0.0109289
CVD,vanXF,0.08315716666666667
CVD,vanXI,0.0060923999999999996
CVD,vanXO,0
CVD,vanXP,0.0181183
CVD,vanXYC,0
CVD,vanXYE,0
CVD,vanXYG,8.491707466666666
CVD,vanXYN,0
CVD,vanYA,3.8740966
CVD,vanYB,28.080655266666668
CVD,vanYF,5.715145133333333
CVD,vanYG,14.374614733333333
CVD,vanYM,8.457545733333333
CVD,vatE,0
CVD,ykkC,0
CVD,ykkD,0
LAD,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),0.0017715897435897434
LAD,AAC(3)-IIc,0.021558769230769232
LAD,AAC(3)-IVa,0.01601125641025641
LAD,AAC(3)-VIIa,1.5333333333333334e-4
LAD,AAC(6')-IIa,0.03533976923076923
LAD,AAC(6')-Ia,6.247692307692307e-4
LAD,AAC(6')-Iaj,0
LAD,AAC(6')-Ib',0.015233692307692307
LAD,AAC(6')-Ib-cr3,2.88974358974359e-4
LAD,AAC(6')-Ib-cr6,0.006549692307692308
LAD,AAC(6')-Ib7,0.021307128205128204
LAD,AAC(6')-Ib8,0.004195
LAD,AAC(6')-Ib9,5.432564102564103e-4
LAD,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,0.07252046153846155
LAD,AAC(6')-Ii,6.749487179487179e-4
LAD,AAC(6')-Iid,0
LAD,AAC(6')-Il,0
LAD,AAC(6')-Im,0.9298623846153846
LAD,AAC(6')-Iy,0
LAD,ACI-1,0.13075028205128206
LAD,ACT-56,8.892307692307693e-5
LAD,ACT-77,0
LAD,ADC-43,0
LAD,ANT(2'')-Ia,0.23973697435897437
LAD,ANT(3'')-IIa,1.4015010256410256
LAD,ANT(3'')-IIb,0.0036052307692307694
LAD,ANT(4')-Ia,0.007950205128205129
LAD,ANT(4')-Ib,0
LAD,ANT(6)-Ia,0.034479333333333334
LAD,ANT(6)-Ib,0.5383499743589744
LAD,ANT(9)-Ia,0.002778102564102564
LAD,ANT(9)-Ib,0
LAD,APH(2'')-IIIa,0
LAD,APH(2'')-IIa,0
LAD,APH(2'')-Ie,0.0029342820512820514
LAD,APH(2'')-If,4.0958948974358975
LAD,APH(2'')-Ig,0.002253974358974359
LAD,APH(3'')-Ib,0.6139363846153846
LAD,APH(3')-IIIa,39.14147805128205
LAD,APH(3')-IIa,0
LAD,APH(3')-Ia,0.11658764102564102
LAD,APH(3')-Ib,0.0010991794871794871
LAD,APH(3')-VIIa,4.332051282051282e-4
LAD,APH(3')-VIa,0.0023980256410256412
LAD,APH(4)-Ia,0.004262102564102564
LAD,APH(6)-Ic,5.942820512820513e-4
LAD,APH(6)-Id,0.034524846153846156
LAD,Acinetobacter baumannii AbaQ,0
LAD,Acinetobacter baumannii AmvA,0
LAD,AcrE,0.024962102564102563
LAD,AcrS,0.028846153846153844
LAD,ArnT,0.056636589743589746
LAD,BLMT,0
LAD,BRO-2,0
LAD,BRP(MBL),0.003083897435897436
LAD,BcI,0
LAD,BcIII,0
LAD,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,0.04016574358974359
LAD,CARB-3,0.003069794871794872
LAD,CARB-4,1.5423076923076924e-4
LAD,CARB-8,0
LAD,CARB-9,0
LAD,CDD-2,0
LAD,CMH-4,0
LAD,CMY-59,0
LAD,CTX-M-55,0.011063538461538461
LAD,CTX-M-65,0
LAD,Campylobacter coli chloramphenicol acetyltransferase,0.6709755128205128
LAD,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,0.0018098205128205128
LAD,CblA-1,0
LAD,CcrA,0
LAD,CfxA6,0.12001915384615384
LAD,Clostridioides difficile gyrB conferring resistance to fluoroquinolones,1.7641025641025642e-4
LAD,Clostridium perfringens mprF,0.003254820512820513
LAD,Corynebacterium striatum tetA,0
LAD,CrcB,0
LAD,DHA-1,2.3071794871794873e-4
LAD,DfrA37,0.009200769230769231
LAD,DfrB9,0
LAD,EBR-5,0
LAD,EC-14,0.031525794871794875
LAD,EC-15,0.025809948717948717
LAD,EreA,0
LAD,EreD,0.8736788717948718
LAD,Erm(34),0
LAD,Erm(35),3.4549546153846156
LAD,Erm(36),0.0031186153846153846
LAD,Erm(42),0.0018608717948717947
LAD,Erm(48),3.766923076923077e-4
LAD,Erm(49),0.001007102564102564
LAD,Erm(51),0.0013492820512820513
LAD,Erm(52),0.2965535641025641
LAD,ErmA,0.5450292564102563
LAD,ErmB,2.067865512820513
LAD,ErmC,0.002557358974358974
LAD,ErmF,12.138417538461539
LAD,ErmG,0.1307846923076923
LAD,ErmQ,0.04866471794871795
LAD,ErmT,0.00746148717948718
LAD,ErmX,0.12525074358974359
LAD,ErmY,0
LAD,"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime",0.03155769230769231
LAD,Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,0.06305835897435898
LAD,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,0.022035820512820513
LAD,Escherichia coli acrA,0.01757169230769231
LAD,Escherichia coli ampC beta-lactamase,0.0021441794871794873
LAD,Escherichia coli emrE,0.05335920512820513
LAD,Escherichia coli mdfA,0.021410333333333333
LAD,Escherichia coli parE conferring resistance to fluoroquinolones,4.161282051282051e-4
LAD,Escherichia coli soxR with mutation conferring antibiotic resistance,7.958461538461538e-4
LAD,Escherichia coli soxS with mutation conferring antibiotic resistance,0.1254676923076923
LAD,EstT,4.408302717948718
LAD,FosA2,0
LAD,FosA3,0.008188666666666667
LAD,FosA7.5,0.0018457692307692307
LAD,FosA8,0.0036765897435897432
LAD,FosB3,0.5454321282051282
LAD,FosBx1,0.0022462564102564103
LAD,FosD,0
LAD,FosG,0
LAD,FosI,0.20980594871794872
LAD,FosK,0.0022532051282051282
LAD,FosXCC,3.529608282051282
LAD,FusF,0
LAD,H-NS,0.05804125641025641
LAD,Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,0.03371902564102564
LAD,HelR,0
LAD,Helicobacter pylori rpoB mutation conferring resistance to rifampicin,0.011429384615384616
LAD,ICR-Mo,0
LAD,Klebsiella pneumoniae KpnE,0.07245284615384615
LAD,Klebsiella pneumoniae KpnF,0.08790923076923077
LAD,Klebsiella pneumoniae KpnG,0
LAD,Klebsiella pneumoniae KpnH,0.03013607692307692
LAD,Klebsiella pneumoniae OmpK37,0
LAD,Limosilactobacillus reuteri cat-TC,0
LAD,LlmA 23S ribosomal RNA methyltransferase,0
LAD,LnuH,0.01140548717948718
LAD,LnuP,0.02814397435897436
LAD,LptD,0
LAD,MCR-1.1,2.1682051282051284e-4
LAD,Mef(En2),15.518089564102564
LAD,Morganella morganii gyrB conferring resistance to fluoroquinolones,0
LAD,Mrx,0
LAD,Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid,9.631794871794872e-4
LAD,Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin,0
LAD,Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,0
LAD,NDM-5,0
LAD,Neisseria gonorrhoeae gyrA conferring resistance to fluoroquinolones,0
LAD,OXA-1,0.005782153846153846
LAD,OXA-10,0.020715615384615384
LAD,OXA-136,0.48548494871794873
LAD,OXA-140,0.0019536666666666665
LAD,OXA-184,2.1384615384615385e-4
LAD,OXA-193,0
LAD,OXA-21,0.0014382307692307693
LAD,OXA-334,0
LAD,OXA-347,0.5628634102564103
LAD,OXA-58,0.0011975384615384617
LAD,OXA-820,0
LAD,OXA-912,0
LAD,OmpA,0
LAD,PC1 beta-lactamase (blaZ),6.034871794871794e-4
LAD,PmrF,0.021040358974358974
LAD,QnrA3,4.195384615384616e-4
LAD,QnrB6,0
LAD,QnrD1,2.3930769230769228e-4
LAD,QnrS1,0.054162
LAD,QnrVC5,0.003006615384615385
LAD,RCP-1,0
LAD,RanA,0
LAD,RanB,1.834871794871795e-4
LAD,RbpA,0
LAD,Rhodobacter sphaeroides ampC beta-lactamase,0.003546410256410256
LAD,SAT-2,0
LAD,SAT-4,9.49218258974359
LAD,SHV-11,0
LAD,Sed-1,0
LAD,Staphylococcus intermedius chloramphenicol acetyltransferase,0
LAD,Streptococcus suis chloramphenicol acetyltransferase,0.2035709487179487
LAD,Streptomyces rimosus otr(A),0.006856538461538462
LAD,Streptomyces venezuelae rox,0
LAD,TEM-1,0.09267164102564103
LAD,TRU-1,0
LAD,TolC,0.018224307692307692
LAD,VEB-17,0.03323030769230769
LAD,Vibrio anguillarum chloramphenicol acetyltransferase,0.40887766666666664
LAD,Vibrio cholerae varG,1.6492307692307694e-4
LAD,YojI,0.001446948717948718
LAD,aad(6),1.9333934615384616
LAD,aadA11,0.001168102564102564
LAD,aadA15,0.003904871794871795
LAD,aadA16,0.005686564102564103
LAD,aadA17,0
LAD,aadA2,0.006318948717948717
LAD,aadA27,0
LAD,aadA5,0.03244151282051282
LAD,aadA7,0.012545128205128205
LAD,aadA9,0.0026085128205128203
LAD,aadK,0
LAD,aadS,0.0029126666666666667
LAD,abeS,0
LAD,acrB,0.018625051282051282
LAD,acrD,0.01063697435897436
LAD,adeF,4.719961512820513
LAD,adeL,0
LAD,almE,4.554102564102564e-4
LAD,almF,0.0027533589743589746
LAD,almG,2.051794871794872e-4
LAD,aphA15,0
LAD,apmA,0
LAD,armA,0
LAD,arr-2,0.0562944358974359
LAD,arr-3,0.026533871794871794
LAD,arr-8,0
LAD,bacA,0
LAD,baeR,0.025001948717948717
LAD,baeS,9.242307692307692e-4
LAD,catA4,0
LAD,catA8,0.11851702564102565
LAD,catB11,0.0031365641025641027
LAD,catB2,0
LAD,catB3,0.01852020512820513
LAD,catB8,0
LAD,catII from Escherichia coli K-12,0.002379153846153846
LAD,catIII,0
LAD,catP,0.014952564102564103
LAD,catQ,0.0038973589743589747
LAD,catS,0.01629328205128205
LAD,cepA,0
LAD,cfr(D),1.3643589743589745e-4
LAD,cfrA,0.3820998461538462
LAD,cfrC,8.482820512820513e-4
LAD,cfrE,1.771250717948718
LAD,clbC,0
LAD,clcD,3.738205128205128e-4
LAD,cmeR,0.0011685384615384615
LAD,cmlA5,0.010661230769230768
LAD,cphA3,0
LAD,cpxA,0.027203897435897437
LAD,dfrA1,0.0060216666666666665
LAD,dfrA10,0
LAD,dfrA12,0.015208846153846154
LAD,dfrA14,0.02752069230769231
LAD,dfrA15,0.0023484358974358976
LAD,dfrA16,0.012521307692307693
LAD,dfrA17,0.023155846153846152
LAD,dfrA19,7.398974358974359e-4
LAD,dfrA20,0
LAD,dfrA27,0.00498425641025641
LAD,dfrA6 from Proteus mirabilis,0.0027388717948717946
LAD,dfrD,0
LAD,dfrE,0
LAD,dfrF,0.01961879487179487
LAD,dfrG,0.004153076923076923
LAD,dfrL,0
LAD,efmA,0
LAD,efrA,0
LAD,emrA,0.01775028205128205
LAD,emrK,0.010896128205128206
LAD,emrR,0.06569728205128204
LAD,emrY,0.00604
LAD,emtA,0
LAD,eptA,0.0214955641025641
LAD,eptB,0
LAD,erm(45),0
LAD,evgA,0.02259902564102564
LAD,evgS,0.012014948717948717
LAD,fexA,3.7273096923076925
LAD,fexB,0.00843023076923077
LAD,fosA5,0
LAD,fusC,2.2546153846153847e-4
LAD,fusD,3.0033333333333333e-4
LAD,gadX,0.04359810256410256
LAD,golS,0
LAD,kdpE,0.006717333333333333
